#Format: <DP> <Energy in keV> <Spectrum in ph cm^-2 s^-1 keV^-1>
#flux (100.0 - 10000.0 keV): 0.00031 ph/cm^2/s


IP LOGLOG
DP 100.000 2.9310202972460672e-07
DP 109.854 2.5852233525347785e-07
DP 120.679 2.2757978613859931e-07
DP 132.571 1.9986059946917422e-07
DP 145.635 1.7518355606333768e-07
DP 159.986 1.5301445628634752e-07
DP 175.751 1.3339368845300700e-07
DP 193.070 1.1604706129848454e-07
DP 212.095 1.0054292393355994e-07
DP 232.995 8.6961115715409044e-08
DP 255.955 7.4950257805346577e-08
DP 281.177 6.6234575977990174e-08
DP 308.884 2.0127415296287304e-07
DP 339.322 2.7460291061076370e-07
DP 372.759 3.1637962922763413e-07
DP 409.492 3.3768652402650964e-07
DP 449.843 3.4387744828492419e-07
DP 494.171 3.3810267804334920e-07
DP 542.868 3.2082721592805282e-07
DP 596.362 2.9638243110619913e-07
DP 655.129 2.6936740948959410e-07
DP 719.686 2.4180481484864390e-07
DP 790.604 2.1496923456203174e-07
DP 868.511 1.8963904007751202e-07
DP 954.095 1.6620650272429580e-07
DP 1048.113 1.4488577607163429e-07
DP 1151.395 1.2566019117322542e-07
DP 1264.855 1.0842626359569037e-07
DP 1389.495 9.3013383142095097e-08
DP 1526.418 7.9198945109809330e-08
DP 1676.833 6.6727232646000815e-08
DP 1842.070 5.5295822683799339e-08
DP 2023.590 4.4539988270272487e-08
DP 2222.996 3.3931136344460346e-08
DP 2442.053 2.2399623840645767e-08
DP 2682.696 7.7990741117157773e-09
DP 2947.052 0.0000000000000000e+00
DP 3237.458 0.0000000000000000e+00
DP 3556.480 0.0000000000000000e+00
DP 3906.940 0.0000000000000000e+00
DP 4291.934 0.0000000000000000e+00
DP 4714.866 0.0000000000000000e+00
DP 5179.475 0.0000000000000000e+00
DP 5689.866 0.0000000000000000e+00
DP 6250.552 0.0000000000000000e+00
DP 6866.488 0.0000000000000000e+00
DP 7543.120 0.0000000000000000e+00
DP 8286.428 0.0000000000000000e+00
DP 9102.982 0.0000000000000000e+00
DP 10000.000 0.0000000000000000e+00
EN
